Name,The beginning of the reign,The end of the reign,Parents
"Bolesław I Chrobry
",18 kwietnia1025,17 czerwca1025,"Mieszko IDobrawa Przemyślidka
"
"Mieszko II Lambert
",25 grudnia1025,1031[4],"Bolesław I ChrobryEmnilda słowiańska
"
"Wratysław II Czeski[5]
",15 czerwca1085 lub 1086,14 stycznia1092,"Brzetysław IJudyta ze Schweinfurtu
"
"Bolesław II Szczodry
",25 grudnia1076,1079[6],"Kazimierz I OdnowicielDobroniega Maria
"
"Przemysł II
",26 czerwca1295,8 lutego1296,"Przemysł IElżbieta wrocławska
"
"Wacław II
",sierpień1300,21 czerwca1305,"Przemysł Ottokar IIKunegunda Halicka
"
"Wacław IIINiekoronowany
",1305,4 sierpnia1306,"Wacław IIGuta von Habsburg
"
"Henryk KarynckiNiekoronowany król tytularny
",1306i3/4 lipca 1307,1306i31 sierpnia 1310,"Meinhard II TyrolskiElżbieta Bawarska
"
"RudolfNiekoronowany król tytularny
",1306,3/4 lipca 1307,"Albrecht I HabsburgElżbieta Tyrolska
"
"JanNiekoronowany król tytularny
",1310,1333,"Henryk VII LuksemburskiMałgorzata Brabancka
"
"Władysław I Łokietek
",20 stycznia1320,2 marca1333,"Kazimierz I kujawskiEufrozyna opolska
"
"Kazimierz III Wielki
",25 kwietnia1333,5 listopada1370,"Władysław I ŁokietekJadwiga Bolesławówna
"
"Ludwik Węgierski
",17 listopada1370,10 września1382,"Karol RobertElżbieta Łokietkówna
"
"Jadwiga Andegaweńska
",16 października1384,17 lipca1399,"Ludwik WęgierskiElżbieta Bośniaczka
"
"Władysław II Jagiełło
",4 marca1386,1 czerwca1434,"Olgierd GiedyminowicJulianna twerska
"
"Władysław III Warneńczyk
",25 lipca1434,10 listopada1444,"Władysław II JagiełłoZofia Holszańska
"
"Kazimierz IV Jagiellończyk
",25 czerwca1447,7 czerwca1492,"Władysław II JagiełłoZofia Holszańska
"
"Jan I Olbracht
",23 września1492,17 czerwca1501,"Kazimierz IV JagiellończykElżbieta Rakuszanka
"
"Aleksander Jagiellończyk
",12 grudnia1501,19 sierpnia1506,"Kazimierz IV JagiellończykElżbieta Rakuszanka
"
"Zygmunt I Stary
",24 stycznia1507,1 kwietnia1548,"Kazimierz IV JagiellończykElżbieta Rakuszanka
"
"Zygmunt II August
",20 lutego1530[7],7 lipca1572,"Zygmunt I StaryBona Sforza
"
"Henryk Walezy
",11 maja1573,18 czerwca1574,"Henryk II WalezjuszKatarzyna Medycejska
"
"Anna Jagiellonka
",13 grudnia1575,9 września1596,"Zygmunt I StaryBona Sforza
"
"Stefan Batory
",1 maja1576,12 grudnia1586,"StefanKatarzyna Telegdi
"
"Zygmunt III Waza
",19 sierpnia1587,19 kwietnia1632,"Jan III WazaKatarzyna Jagiellonka
"
"Władysław IV Waza
",8 listopada1632,20 maja1648,"Zygmunt III WazaAnna Habsburżanka
"
"Jan II Kazimierz Waza
",20 listopada1648,16 września1668,"Zygmunt III WazaKonstancja Habsburżanka
"
"Michał Korybut Wiśniowiecki
",19 czerwca1669,10 listopada1673,"Jeremi WiśniowieckiGryzelda Zamoyska
"
"Jan III Sobieski
",21 maja1674,17 czerwca1696,"Jakub SobieskiZofia Teofila Daniłowiczówna
"
"August II Mocny
",15 września 1697i20 października 1709,wrzesień1706i1 lutego1733,"Jan Jerzy III WettynAnna Zofia Oldenburg
"
"Stanisław Leszczyński
",12 lipca 1704i12 września 1733,4 października1705i26 stycznia1736,"Rafał LeszczyńskiAnna Leszczyńska
"
"August III Sas
",5 października1733,5 października1763,"August II MocnyKrystyna Eberhardyna Hohenzollernówna
"
"Stanisław August Poniatowski
",7 września1764,25 listopada1795,"Stanisław PoniatowskiKonstancja Czartoryska
"
